ilkid,firstname,lastname,year,team,team-name,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,position,salary
ScolaLu01,Luis,Scola,2009,HOU,Houston Rockets,N,82,2671,1329,175,530,705,169,63,26,163,246,1090,560,267,208,5,1,Forward,3383332
SefolTh01,Thabo,Sefolosha,2009,OKC,Oklahoma City Thunder,N,82,2348,489,76,311,387,145,97,46,90,154,441,194,89,60,131,41,Forward,2759628
SessiRa01,Ramon,Sessions,2009,MIN,Minnesota Timberwolves,N,82,1732,674,58,156,214,258,55,5,137,137,555,253,233,167,15,1,Guard,3670666
SimmoBo01,Bobby,Simmons,2009,NJN,New Jersey Nets,N,23,395,122,11,52,63,15,15,3,19,52,117,42,20,18,63,20,Forward,10560000
SinglJa01,James,Singleton,2009,WAS,Washington Wizards,N,32,766,195,91,130,221,22,17,36,37,82,190,73,56,47,15,2,Center,1030189
SkinnBr01,Brian,Skinner,2009,LAC,Los Angeles Clippers,N,16,123,26,9,18,27,0,3,4,7,20,25,10,8,6,0,0,Forward,1262275
SmithJa02,Jason,Smith,2009,PHI,Philadelphia 76ers,N,56,658,189,54,81,135,33,21,28,35,110,174,75,42,29,29,10,Forward,1418880
SmithJo01,Joe,Smith,2009,ATL,Atlanta Hawks,N,64,592,194,66,91,157,21,6,19,22,95,193,77,48,39,7,1,Forward,1306455
SmithJo03,Josh,Smith,2009,ATL,Atlanta Hawks,N,81,2871,1269,223,482,705,342,130,173,198,240,999,504,422,261,7,0,Forward,10800000
SmithJR01,J.R.,Smith,2009,DEN,Denver Nuggets,N,75,2076,1156,28,206,234,183,99,20,139,174,1033,428,201,142,467,158,Guard,5508424
SongaDa01,Darius,Songaila,2009,NOH,New Orleans Hornets,N,75,1410,543,59,173,232,70,62,14,81,206,488,241,74,60,6,1,Forward,4526000
SpeigMa01,Marreese,Speights,2009,PHI,Philadelphia 76ers,N,62,1016,532,85,167,252,36,29,34,51,152,444,212,145,108,5,0,Forward,1658280
StackJe01,Jerry,Stackhouse,2009,MIL,Milwaukee Bucks,N,42,855,358,19,81,100,70,21,9,66,56,316,129,69,55,130,45,Guard,676283
