ilkid,firstname,lastname,year,team,team-name,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,position,salary
BreweRo02,Ronnie,Brewer,2009,MEM,Memphis Grizzlies,N,5,80,10,1,6,7,3,6,0,2,0,13,3,5,4,0,0,Guard,2717160
BrezePr01,Primoz,Brezec,2009,MIL,Milwaukee Bucks,N,14,59,14,6,7,13,1,0,2,2,10,13,7,4,0,0,0,Center,1107572
BrockJo01,Jon,Brockman,2009,SAC,Sacramento Kings,N,52,654,147,105,108,213,22,15,5,23,115,103,55,62,37,0,0,Forward,457588
BrookAa01,Aaron,Brooks,2009,HOU,Houston Rockets,N,82,2919,1604,54,161,215,434,69,14,232,199,1331,575,298,245,525,209,Guard,1118520
BrownDe02,Devin,Brown,2009,CHI,Chicago Bulls,N,11,93,20,2,13,15,7,3,1,5,10,36,8,0,0,17,4,Guard,1107572
BrownDe04,Derrick,Brown,2009,CHR,Charlotte Bobcats,N,57,535,186,31,47,78,19,21,10,19,53,147,68,72,48,7,2,Forward,457588
BrownKw01,Kwame,Brown,2009,DET,Detroit Pistons,N,48,660,157,53,124,177,22,15,12,43,93,124,62,98,33,1,0,Center,4000000
BrownSh01,Shannon,Brown,2009,LAL,Los Angeles Lakers,N,82,1700,667,30,153,183,108,57,31,67,129,592,253,121,99,189,62,Guard,797581
BryanKo01,Kobe,Bryant,2009,LAL,Los Angeles Lakers,N,73,2835,1970,78,313,391,365,113,20,233,187,1569,716,541,439,301,99,Guard,21262496
BudinCh01,Chase,Budinger,2009,HOU,Houston Rockets,N,74,1488,657,38,182,220,88,34,11,48,85,565,249,87,67,249,92,Forward,725000
ButleCa01,Caron,Butler,2009,DAL,Dallas Mavericks,N,27,930,410,36,109,145,49,48,9,47,67,357,157,104,79,50,17,Forward,10030968
BynumAn01,Andrew,Bynum,2009,LAL,Los Angeles Lakers,N,65,1977,977,177,364,541,68,35,94,115,193,688,392,261,193,1,0,Center,2769300
BynumWi01,Will,Bynum,2009,DET,Detroit Pistons,N,63,1667,628,24,118,142,283,55,7,115,143,534,237,178,142,55,12,Guard,825497
CaldeJo01,Jose,Calderon,2009,TOR,Toronto Raptors,N,68,1817,699,23,119,142,404,47,7,99,135,568,274,104,83,171,68,Guard,8219008
CambyMa01,Marcus,Camby,2009,POR,Portland Trail Blazers,N,23,718,162,83,172,255,35,26,47,27,56,145,72,31,18,1,0,Center,9150000
CarneRo01,Rodney,Carney,2009,PHI,Philadelphia 76ers,N,68,857,319,26,111,137,37,25,20,21,79,282,113,63,52,135,41,Forward,855189
CarroDe01,DeMarre,Carroll,2009,MEM,Memphis Grizzlies,N,71,795,209,53,97,150,33,28,9,24,107,222,88,53,33,6,0,Forward,1009680
CarroMa01,Matt,Carroll,2009,DAL,Dallas Mavericks,N,25,121,46,4,8,12,6,5,0,7,13,50,18,6,6,19,4,Guard,4700000
CarteAn01,Anthony,Carter,2009,DEN,Denver Nuggets,N,54,859,180,17,72,89,160,39,13,58,72,181,76,13,11,63,17,Guard,1306455
CarteVi01,Vince,Carter,2009,ORL,Orlando Magic,N,75,2310,1244,33,260,293,236,53,18,106,189,1015,434,306,257,324,119,Guard,16123248
CasspOm01,Omri,Casspi,2009,SAC,Sacramento Kings,N,77,1931,792,75,274,349,95,54,17,98,125,672,300,174,117,203,75,Forward,1167000
ChalmMa01,Mario,Chalmers,2009,MIA,Miami Heat,N,73,1807,521,25,110,135,246,91,12,123,175,454,182,110,82,236,75,Guard,756000
ChandTy01,Tyson,Chandler,2009,CHR,Charlotte Bobcats,N,51,1163,333,114,206,320,16,17,55,91,138,190,109,157,115,0,0,Center,12300000
ChandWi01,Wilson,Chandler,2009,NYK,New York Knicks,N,65,2320,993,93,255,348,138,46,49,108,184,860,412,160,129,150,40,Forward,1255440
ClarkEa01,Earl,Clark,2009,PHO,Phoenix Suns,N,51,383,140,18,44,62,21,7,13,23,25,151,56,36,26,5,2,Forward,1766280
ColliDa01,Darren,Collison,2009,NOH,New Orleans Hornets,N,76,2109,946,41,151,192,432,78,4,202,92,789,376,174,148,115,46,Guard,1266120
ColliJa03,Jason,Collins,2009,ATL,Atlanta Hawks,N,24,115,16,5,9,14,4,3,2,5,21,23,8,2,0,1,0,Center,1181803
ColliJa04,Jarron,Collins,2009,PHO,Phoenix Suns,N,34,260,34,22,40,62,6,2,3,10,42,31,12,25,10,0,0,Center,1181803
ColliMa01,Mardy,Collins,2009,LAC,Los Angeles Clippers,N,43,470,111,13,37,50,44,23,1,32,45,128,47,21,13,17,4,Guard,1034760
ColliNi01,Nick,Collison,2009,OKC,Oklahoma City Thunder,N,75,1557,439,152,232,384,38,37,48,63,230,309,182,107,74,4,1,Forward,6250000
ConleMi01,Mike,Conley,2009,MEM,Memphis Grizzlies,N,80,2569,959,30,161,191,425,109,12,170,178,830,369,187,139,212,82,Guard,3883800
ConroWi01,Will,Conroy,2009,HOU,Houston Rockets,N,5,36,6,0,3,3,7,0,0,4,5,10,3,2,0,3,0,Guard,86638
CookBr01,Brian,Cook,2009,HOU,Houston Rockets,N,15,44,21,1,8,9,1,0,2,6,5,23,7,7,5,9,2,Forward,3500000
CrawfJa01,Jamal,Crawford,2009,ATL,Atlanta Hawks,N,79,2460,1425,34,167,201,238,61,12,137,132,1105,496,315,270,427,163,Guard,9360000
CunniDa01,Dante,Cunningham,2009,POR,Portland Trail Blazers,N,63,707,243,54,106,160,14,24,22,15,97,214,106,48,31,2,0,Forward,457588
CurryEd01,Eddy,Curry,2009,NYK,New York Knicks,N,7,62,26,4,9,13,0,0,1,13,13,21,8,17,10,0,0,Center,10500416
CurrySt01,Stephen,Curry,2009,GSW,Golden State Warriors,N,80,2896,1399,48,308,356,472,152,19,244,252,1143,528,200,177,380,166,Guard,2710560
DampiEr01,Erick,Dampier,2009,DAL,Dallas Mavericks,N,55,1280,328,128,272,400,31,15,77,61,153,213,133,101,61,3,1,Center,12115496
DanieMa01,Marquis,Daniels,2009,BOS,Boston Celtics,N,51,937,288,27,68,95,66,27,6,42,91,249,124,56,34,28,6,Guard,1990000
DavisBa01,Baron,Davis,2009,LAC,Los Angeles Clippers,N,75,2523,1145,52,214,266,598,126,43,211,210,1015,412,291,239,296,82,Guard,11250000
DavisGl01,Glen,Davis,2009,BOS,Boston Celtics,N,54,933,340,101,104,205,35,21,14,53,132,279,122,138,96,4,0,Forward,3000000
DavisPa01,Paul,Davis,2009,WAS,Washington Wizards,N,2,8,5,0,0,0,3,0,1,0,0,4,2,2,1,0,0,Center,80488
DavisRi01,Ricky,Davis,2009,LAC,Los Angeles Clippers,N,36,499,158,10,47,57,39,11,3,29,39,143,62,31,18,42,16,Forward,2300000
DayeAu01,Austin,Daye,2009,DET,Detroit Pistons,N,69,915,349,34,140,174,34,25,26,48,114,295,137,56,46,95,29,Forward,1677840
DelfiCa01,Carlos,Delfino,2009,MIL,Milwaukee Bucks,N,75,2279,825,51,343,394,202,80,21,119,138,732,299,119,93,365,134,Guard,3500000
DengLu01,Luol,Deng,2009,CHI,Chicago Bulls,N,70,2651,1230,131,381,512,143,66,61,134,129,1014,473,330,252,83,32,Forward,10365000
DeRozDe01,DeMar,DeRozan,2009,TOR,Toronto Raptors,N,77,1664,662,66,157,223,53,43,18,62,176,512,255,194,148,16,4,Forward,2304240
DiawaYa01,Yakhouba,Diawara,2009,MIA,Miami Heat,N,6,44,5,1,3,4,3,1,0,3,8,10,2,0,0,6,1,Forward,886400
DiawBo01,Boris,Diaw,2009,CHR,Charlotte Bobcats,N,82,2906,925,131,293,424,325,60,57,178,219,773,373,147,113,206,66,Forward,9000000
DieneTr01,Travis,Diener,2009,IND,Indiana Pacers,N,4,25,3,0,2,2,4,3,0,0,1,6,1,2,0,5,1,Guard,1740000
DiopDe01,DeSagana,Diop,2009,CHR,Charlotte Bobcats,N,27,262,32,24,41,65,5,5,14,12,31,29,15,9,2,0,0,Center,6031800
DooliKe01,Keyon,Dooling,2009,NJN,New Jersey Nets,N,53,971,364,8,46,54,135,34,0,59,82,324,129,61,47,157,59,Guard,3500000
DouglTo01,Toney,Douglas,2009,NYK,New York Knicks,N,56,1087,481,40,68,108,112,42,3,55,116,391,179,68,55,175,68,Guard,996240
DragiGo01,Goran,Dragic,2009,PHO,Phoenix Suns,N,80,1442,635,38,133,171,241,48,8,126,131,491,222,159,117,188,74,Guard,1836000
DudleJa01,Jared,Dudley,2009,PHO,Phoenix Suns,N,82,1991,674,99,182,281,115,81,16,68,162,490,225,138,104,262,120,Forward,1307640
DuhonCh01,Chris,Duhon,2009,NYK,New York Knicks,N,67,2072,494,28,150,178,378,59,3,110,83,451,168,95,68,258,90,Guard,6031800
DuncaTi01,Tim,Duncan,2009,SAS,San Antonio Spurs,N,78,2438,1395,221,567,788,246,45,117,140,152,1082,561,374,271,11,2,Forward,22183216
DunleMi02,Mike,Dunleavy,2009,IND,Indiana Pacers,N,67,1486,666,25,211,236,103,38,15,72,105,558,229,158,133,236,75,Forward,9780992
DuranKe01,Kevin,Durant,2009,OKC,Oklahoma City Thunder,N,82,3239,2472,105,518,623,231,112,84,271,171,1668,794,840,756,351,128,Forward,4796880
EllinWa01,Wayne,Ellington,2009,MIN,Minnesota Timberwolves,N,76,1384,505,33,126,159,74,20,5,74,72,448,190,70,61,162,64,Guard,1003560
EllisMo01,Monta,Ellis,2009,GSW,Golden State Warriors,N,64,2647,1631,47,210,257,340,143,25,243,189,1406,631,388,292,228,77,Guard,11000000
ElsonFr01,Francisco,Elson,2009,PHI,Philadelphia 76ers,N,1,4,2,1,0,1,0,0,0,0,0,2,1,3,0,0,0,Center,1700000
EvansMa01,Maurice,Evans,2009,ATL,Atlanta Hawks,N,79,1317,453,59,95,154,48,34,17,20,125,393,175,61,46,169,57,Forward,2500000
EvansRe01,Reggie,Evans,2009,TOR,Toronto Raptors,N,28,311,95,30,75,105,8,14,4,22,44,69,34,60,27,0,0,Forward,4960000
EvansTy01,Tyreke,Evans,2009,SAC,Sacramento Kings,N,72,2677,1450,66,314,380,414,109,26,216,204,1165,533,465,348,141,36,Guard,3610080
FarmaJo01,Jordan,Farmar,2009,LAL,Los Angeles Lakers,N,82,1474,591,14,117,131,127,52,11,72,109,515,224,85,57,229,86,Guard,1080000
FeltoRa01,Raymond,Felton,2009,CHR,Charlotte Bobcats,N,80,2643,968,53,235,288,446,123,22,168,172,846,388,173,132,156,60,Guard,5501196
FernaRu01,Rudy,Fernandez,2009,POR,Portland Trail Blazers,N,62,1441,503,35,129,164,127,62,11,72,87,423,160,98,85,266,98,Guard,1165320
FesenKy01,Kyrylo,Fesenko,2009,UTA,Utah Jazz,N,49,408,128,33,57,90,15,6,19,24,78,95,52,57,24,1,0,Center,870000
FinleMi01,Michael,Finley,2009,SAS,San Antonio Spurs,N,25,395,93,5,33,38,19,6,4,13,12,97,37,9,6,41,13,Forward,2500000
FisheDe01,Derek,Fisher,2009,LAL,Los Angeles Lakers,N,82,2227,615,25,145,170,201,90,9,78,202,558,212,132,113,224,78,Guard,4700000
FlynnJo01,Jonny,Flynn,2009,MIN,Minnesota Timberwolves,N,81,2339,1094,24,167,191,356,82,2,233,98,952,397,270,223,215,77,Guard,2969280
FordTJ01,T.J.,Ford,2009,IND,Indiana Pacers,N,47,1189,484,41,108,149,180,44,11,90,102,418,186,135,104,50,8,Guard,8500000
FosteJe01,Jeff,Foster,2009,IND,Indiana Pacers,N,16,255,49,34,47,81,21,3,4,14,45,46,22,9,5,1,0,Center,6007500
FoyeRa01,Randy,Foye,2009,WAS,Washington Wizards,N,70,1667,704,16,114,130,228,33,10,94,123,619,256,145,129,182,63,Guard,3575760
FryeCh01,Channing,Frye,2009,PHO,Phoenix Suns,N,81,2190,904,66,361,427,113,64,74,73,263,703,317,121,98,392,172,Forward,1990000
GaineSu01,Sundiata,Gaines,2009,UTA,Utah Jazz,N,32,217,106,6,23,29,39,12,0,14,17,82,38,46,23,26,7,Guard,271861
GalliDa01,Danilo,Gallinari,2009,NYK,New York Knicks,N,81,2747,1221,65,333,398,135,75,58,110,191,927,392,307,251,488,186,Forward,3089040
GarciFr01,Francisco,Garcia,2009,SAC,Sacramento Kings,N,25,575,202,11,55,66,45,10,19,21,49,176,82,17,15,59,23,Guard,5800000
GarneKe01,Kevin,Garnett,2009,BOS,Boston Celtics,N,69,2060,990,78,428,506,185,68,57,101,170,772,402,221,185,5,1,Forward,16417040
GasolMa01,Marc,Gasol,2009,MEM,Memphis Grizzlies,N,69,2469,1008,208,432,640,165,69,109,135,254,651,378,376,252,1,0,Center,3340800
GasolPa01,Pau,Gasol,2009,LAL,Los Angeles Lakers,N,65,2403,1190,243,491,734,218,37,113,143,152,844,452,362,286,5,0,Forward,15106000
GayRu01,Rudy,Gay,2009,MEM,Memphis Grizzlies,N,80,3175,1567,115,357,472,153,118,64,169,201,1288,600,400,301,202,66,Forward,3280996
GeeAl01,Alonzo,Gee,2009,WAS,Washington Wizards,N,11,182,81,15,18,33,7,7,1,10,13,59,28,29,18,9,7,Guard,53834
GeorgDe01,Devean,George,2009,GSW,Golden State Warriors,N,45,761,242,21,93,114,32,41,10,15,89,206,89,23,16,123,48,Forward,1768000
GibsoDa01,Daniel,Gibson,2009,CLE,Cleveland Cavaliers,N,56,1068,355,13,60,73,70,25,7,36,79,268,125,49,34,149,71,Guard,4088500
GibsoTa01,Taj,Gibson,2009,CHI,Chicago Bulls,N,82,2204,735,226,385,611,70,50,104,114,282,629,311,175,113,0,0,Forward,1039800
GiddeJR01,J.R.,Giddens,2009,NYK,New York Knicks,N,11,140,45,12,19,31,7,5,1,10,19,39,19,11,7,8,0,Guard,1028880
GildeTr01,Trey,Gilder,2009,MEM,Memphis Grizzlies,N,2,5,2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,Forward,26917
GinobEm01,Manu,Ginobili,2009,SAS,San Antonio Spurs,N,75,2150,1237,68,216,284,370,103,24,154,154,903,398,355,309,350,132,Guard,10728128
GordoBe01,Ben,Gordon,2009,DET,Detroit Pistons,N,62,1730,855,26,93,119,166,49,6,118,147,699,291,230,198,234,75,Guard,10000000
GordoEr01,Eric,Gordon,2009,LAC,Los Angeles Clippers,N,62,2229,1045,25,135,160,186,69,14,144,96,784,352,299,222,321,119,Guard,2623200
GortaMa01,Marcin,Gortat,2009,ORL,Orlando Magic,N,81,1088,293,104,237,341,17,17,70,46,138,227,121,75,51,3,0,Forward,5854000
GrahaSt01,Stephen,Graham,2009,CHR,Charlotte Bobcats,N,70,804,296,24,111,135,23,20,10,36,94,240,119,65,42,50,16,Guard,825497
GrangDa01,Danny,Granger,2009,IND,Indiana Pacers,N,62,2278,1497,67,275,342,171,94,51,157,183,1139,488,428,363,438,158,Forward,9930496
GrayAa01,Aaron,Gray,2009,NOH,New Orleans Hornets,N,24,261,86,40,50,90,20,9,11,17,44,61,34,21,18,0,0,Center,1000497
GreenDa02,Danny,Green,2009,CLE,Cleveland Cavaliers,N,20,115,40,8,9,17,5,6,3,5,9,39,15,6,4,22,6,Guard,457588
GreenDo01,Donte,Greene,2009,SAC,Sacramento Kings,N,76,1630,647,53,181,234,71,41,53,93,150,553,244,140,90,183,69,Forward,971160
GreenJe02,Jeff,Green,2009,OKC,Oklahoma City Thunder,N,82,3043,1239,112,378,490,134,104,72,135,221,1070,485,223,165,312,104,Forward,3516960
GreenWi01,Willie,Green,2009,PHI,Philadelphia 76ers,N,73,1553,638,20,109,129,152,32,11,67,135,543,248,114,95,136,47,Guard,3682000
GriffTa01,Taylor,Griffin,2009,PHO,Phoenix Suns,N,8,32,10,0,2,2,1,0,2,1,4,10,4,4,2,2,0,Forward,457588
HaddaHa01,Hamed,Haddadi,2009,MEM,Memphis Grizzlies,N,36,240,62,26,49,75,10,1,14,20,57,62,24,19,14,3,0,Center,1697999
HairsMa01,Malik,Hairston,2009,SAS,San Antonio Spurs,N,47,317,99,13,36,49,16,4,9,11,29,76,40,30,17,11,2,Guard,736420
HaislMa01,Marcus,Haislip,2009,SAS,San Antonio Spurs,N,10,44,25,4,6,10,0,0,2,3,5,21,10,5,2,5,3,Forward,855189
HamilRi01,Richard,Hamilton,2009,DET,Detroit Pistons,N,46,1552,831,30,92,122,202,30,3,115,115,717,293,241,204,138,41,Guard,11625000
HansbTy01,Tyler,Hansbrough,2009,IND,Indiana Pacers,N,29,511,246,60,78,138,28,17,8,21,70,225,81,113,84,4,0,Forward,1859160
HardeJa01,James,Harden,2009,OKC,Oklahoma City Thunder,N,76,1738,753,47,197,244,137,80,20,106,200,578,233,240,194,248,93,Guard,4004160
HarriAl01,Al,Harrington,2009,NYK,New York Knicks,N,72,2195,1276,88,317,405,110,62,26,132,209,1030,448,317,240,409,140,Forward,10026872
HarriDe01,Devin,Harris,2009,NJN,New Jersey Nets,N,64,2221,1080,24,179,203,423,79,18,181,178,884,356,386,308,217,60,Guard,8400000
HarriMi01,Mike,Harris,2009,TOT,ALL,N,13,96,29,10,14,24,3,5,1,9,14,30,11,11,7,1,0,Forward,190283
HasleUd01,Udonis,Haslem,2009,MIA,Miami Heat,N,78,2177,771,167,462,629,52,30,23,75,174,632,312,193,147,0,0,Forward,7100000
HasseTr01,Trenton,Hassell,2009,NJN,New Jersey Nets,N,52,1106,232,56,96,152,50,17,9,47,91,219,90,69,52,5,0,Forward,4350000
HayesCh01,Chuck,Hayes,2009,HOU,Houston Rockets,N,82,1773,358,151,314,465,139,73,43,74,219,329,161,66,36,0,0,Forward,2117500
HayesJa01,Jarvis,Hayes,2009,NJN,New Jersey Nets,N,45,1032,350,9,99,108,40,29,9,28,91,328,138,18,14,179,60,Forward,2062800
HaywoBr01,Brendan,Haywood,2009,DAL,Dallas Mavericks,N,28,741,226,78,130,208,25,8,57,32,64,156,88,87,50,1,0,Center,6000000
HeadLu01,Luther,Head,2009,IND,Indiana Pacers,N,47,813,357,6,74,80,72,18,9,54,53,311,136,58,48,105,37,Guard,884881
HendeGe02,Gerald,Henderson,2009,CHR,Charlotte Bobcats,N,43,355,113,15,40,55,13,10,9,14,25,104,37,47,35,19,4,Guard,1957080
HibbeRo01,Roy,Hibbert,2009,IND,Indiana Pacers,N,81,2035,946,177,287,464,158,30,131,145,285,782,387,224,169,6,3,Center,1575360
HicksJJ01,J.J.,Hickson,2009,CLE,Cleveland Cavaliers,N,81,1691,689,110,290,400,40,36,39,92,132,522,289,163,111,1,0,Forward,1429200
HilarNe01,Nene,Hilario,2009,DEN,Denver Nuggets,N,82,2755,1135,166,461,627,203,115,82,125,281,717,421,416,293,2,0,Forward,9680000
HillGe01,George,Hill,2009,SAS,San Antonio Spurs,N,78,2276,964,42,163,205,226,69,26,101,222,738,353,237,183,188,75,Guard,1081680
HillGr01,Grant,Hill,2009,PHO,Phoenix Suns,N,81,2430,912,74,371,445,193,60,36,108,165,703,336,251,205,80,35,Forward,3000000
HillJo01,Jordan,Hill,2009,HOU,Houston Rockets,N,23,372,147,44,70,114,13,4,12,18,55,109,58,47,31,0,0,Forward,2483280
HinriKi01,Kirk,Hinrich,2009,CHI,Chicago Bulls,N,74,2481,805,24,236,260,330,85,24,113,204,753,308,113,85,280,104,Guard,9500000
HolidJr01,Jrue,Holiday,2009,PHI,Philadelphia 76ers,N,73,1767,587,56,135,191,280,79,18,156,153,520,230,86,65,159,62,Guard,1514280
HolliRy01,Ryan,Hollins,2009,MIN,Minnesota Timberwolves,N,73,1223,447,79,128,207,51,19,38,95,199,303,169,158,109,1,0,Center,2183332
HorfoAl01,Al,Horford,2009,ATL,Atlanta Hawks,N,81,2845,1148,236,563,799,189,59,91,122,225,847,467,270,213,1,1,Center,4307640
HouseEd01,Eddie,House,2009,NYK,New York Knicks,N,18,371,115,6,34,40,37,12,0,20,20,133,44,12,12,60,15,Guard,2862000
HowarDw01,Dwight,Howard,2009,ORL,Orlando Magic,N,82,2843,1503,284,798,1082,144,75,228,274,287,834,510,816,483,7,0,Center,14410576
HowarJo01,Josh,Howard,2009,WAS,Washington Wizards,N,4,91,58,4,9,13,4,3,2,3,13,46,20,20,15,11,3,Forward,10890000
HowarJu01,Juwan,Howard,2009,POR,Portland Trail Blazers,N,73,1632,437,108,227,335,61,27,10,72,191,375,191,70,55,1,0,Forward,1306455
HudsoLe01,Lester,Hudson,2009,TOT,All,N,25,131,58,7,11,18,13,8,3,14,12,53,21,13,11,16,5,Guard,651390
HugheLa01,Larry,Hughes,2009,CHR,Charlotte Bobcats,N,14,295,114,7,25,32,28,12,4,19,17,107,35,34,29,42,15,Guard,261291
HumphKr01,Kris,Humphries,2009,NJN,New Jersey Nets,N,44,906,356,82,201,283,25,29,37,53,102,293,127,146,102,1,0,Forward,2900000
HunteCh01,Chris,Hunter,2009,GSW,Golden State Warriors,N,60,783,270,56,111,167,37,13,35,30,132,217,109,69,52,4,0,Forward,392987
HunteLi01,Lindsey,Hunter,2009,CHI,Chicago Bulls,N,13,122,13,1,13,14,9,1,0,4,12,30,5,2,2,13,1,Guard,1306455
HunteOt01,Othello,Hunter,2009,ATL,Atlanta Hawks,N,7,33,11,6,6,12,0,0,1,3,5,12,4,4,3,0,0,Forward,329223
HunteSt01,Steven,Hunter,2009,MEM,Memphis Grizzlies,N,21,158,53,18,24,42,0,1,10,9,10,43,17,36,19,0,0,Forward,3696000
IbakaSe01,Serge,Ibaka,2009,OKC,Oklahoma City Thunder,N,73,1323,461,138,259,397,10,25,97,68,194,370,201,92,58,2,1,Forward,1084080
IguodAn01,Andre,Iguodala,2009,PHI,Philadelphia 76ers,N,82,3192,1401,82,447,529,472,141,55,218,145,1120,496,430,315,303,94,Guard,12486496
IlgauZy01,Zydrunas,Ilgauskas,2009,CLE,Cleveland Cavaliers,N,64,1339,474,114,231,345,48,14,50,63,183,438,194,101,75,23,11,Center,1190000
IlyasEr01,Ersan,Ilyasova,2009,MIL,Milwaukee Bucks,N,81,1898,840,157,360,517,84,53,23,71,251,729,323,158,113,241,81,Forward,2100000
IversAl01,Allen,Iverson,2009,PHI,Philadelphia 76ers,N,25,798,348,15,60,75,102,18,2,57,43,290,121,119,98,24,8,Guard,1029794
IveyRo01,Royal,Ivey,2009,MIL,Milwaukee Bucks,N,18,90,23,1,7,8,10,9,0,6,14,28,9,5,3,11,2,Guard,1050000
JackJa01,Jarrett,Jack,2009,TOR,Toronto Raptors,N,82,2243,931,30,192,222,413,60,6,163,151,671,323,241,203,199,82,Guard,5000000
JacksCe02,Cedric,Jackson,2009,TOT,All,N,12,74,20,2,6,8,14,3,2,11,7,20,6,12,7,6,1,Guard,123818
JacksDa01,Darnell,Jackson,2009,CLE,Cleveland Cavaliers,N,27,114,21,8,12,20,4,2,4,13,19,25,8,6,4,3,1,Forward,736420
JacksSt02,Stephen,Jackson,2009,CHR,Charlotte Bobcats,N,72,2829,1518,72,294,366,258,118,37,233,181,1285,544,397,312,353,118,Forward,7650000
JamesLe01,LeBron,James,2009,CLE,Cleveland Cavaliers,N,76,2966,2258,71,483,554,651,125,77,261,119,1528,768,773,593,387,129,Forward,15779912
JamesMi01,Mike,James,2009,WAS,Washington Wizards,N,4,46,18,1,2,3,5,3,0,5,3,20,6,8,4,6,2,Guard,6466600
JamisAn01,Antawn,Jamison,2009,CLE,Cleveland Cavaliers,N,25,811,395,37,156,193,32,28,12,30,67,336,163,83,42,79,27,Forward,11641088
JawaiNa01,Nathan,Jawai,2009,MIN,Minnesota Timberwolves,N,39,412,124,49,55,104,24,10,9,27,58,111,49,38,26,1,0,Forward,736420
JeffeAl01,Al,Jefferson,2009,MIN,Minnesota Timberwolves,N,76,2463,1301,180,523,703,137,63,98,136,205,1125,560,266,181,4,0,Center,12000000
JeffeOt01,Othyus,Jeffers,2009,UTA,Utah Jazz,N,14,72,37,8,11,19,1,4,0,6,10,29,12,19,13,0,0,Forward,115743
JeffeRi01,Richard,Jefferson,2009,SAS,San Antonio Spurs,N,81,2520,994,58,298,356,158,45,40,105,178,775,362,287,211,187,59,Forward,14200000
JeffrJa01,Jared,Jeffries,2009,HOU,Houston Rockets,N,18,332,88,31,34,65,18,9,13,14,46,84,36,27,15,9,1,Center,6466600
JenniBr01,Brandon,Jennings,2009,MIL,Milwaukee Bucks,N,82,2671,1270,49,233,282,470,105,18,200,191,1216,451,273,223,388,145,Guard,2168520
JerebJo01,Jonas,Jerebko,2009,DET,Detroit Pistons,N,80,2232,741,194,284,478,58,79,29,82,230,603,290,176,125,115,36,Forward,457588
JianlYi01,Yi,Jianlian,2009,NJN,New Jersey Nets,N,52,1655,623,115,257,372,47,37,52,77,170,563,227,193,154,41,15,Forward,2986080
JohnsAm01,Amir,Johnson,2009,TOR,Toronto Raptors,N,82,1453,511,154,241,395,48,44,66,63,255,334,208,149,95,4,0,Forward,3666666
JohnsAn02,Anthony,Johnson,2009,ORL,Orlando Magic,N,31,406,130,8,40,48,63,11,1,26,32,111,49,20,19,39,13,Guard,1900000
JohnsJa01,James,Johnson,2009,CHI,Chicago Bulls,N,65,757,256,34,94,128,48,21,43,62,126,210,95,70,51,46,15,Forward,1594080
JohnsJo02,Joe,Johnson,2009,ATL,Atlanta Hawks,N,76,2886,1619,74,279,353,369,82,5,145,145,1386,635,269,220,350,129,Guard,14976752
JonesDa02,Dahntay,Jones,2009,IND,Indiana Pacers,N,76,1892,776,48,181,229,150,40,39,129,237,623,287,257,198,32,4,Guard,2500000
JonesDw02,Dwayne,Jones,2009,PHO,Phoenix Suns,N,2,7,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,Forward,52052
JonesJa02,James,Jones,2009,MIA,Miami Heat,N,36,503,146,4,41,45,17,11,4,11,45,119,43,28,23,90,37,Forward,4320000
JonesSo01,Solomon,Jones,2009,IND,Indiana Pacers,N,52,675,207,51,93,144,32,14,37,40,125,176,78,71,51,3,0,Forward,1620000
JordaDe01,DeAndre,Jordan,2009,LAC,Los Angeles Clippers,N,70,1137,336,122,230,352,21,16,62,75,152,238,144,128,48,2,0,Center,550000
KamanCh01,Chris,Kaman,2009,LAC,Los Angeles Clippers,N,76,2608,1408,184,520,704,120,37,94,223,213,1202,589,307,230,6,0,Center,9500000
KaponJa01,Jason,Kapono,2009,PHI,Philadelphia 76ers,N,57,976,324,14,52,66,39,21,6,34,80,301,126,15,9,171,63,Guard,6212960
KarlCo01,Coby,Karl,2009,TOT,All,N,7,113,28,4,14,18,15,3,1,10,14,32,11,6,4,11,2,Guard and Forward,360455
KiddJa01,Jason,Kidd,2009,DAL,Dallas Mavericks,N,80,2881,824,48,397,445,724,145,35,195,142,671,284,99,80,414,176,Guard,8100000
KirilAn01,Andrei,Kirilenko,2009,UTA,Utah Jazz,N,58,1681,688,76,188,264,158,83,71,79,102,482,244,234,174,89,26,Forward,16452000
KorveKy01,Kyle,Korver,2009,UTA,Utah Jazz,N,52,952,374,10,101,111,89,26,12,42,76,280,138,49,39,110,59,Guard,5263636
KoufoKo01,Kosta,Koufos,2009,UTA,Utah Jazz,N,36,172,53,16,29,45,6,2,4,15,26,47,22,15,9,0,0,Center,1214040
KrstiNe01,Nenad,Krstic,2009,OKC,Oklahoma City Thunder,N,76,1741,639,134,249,383,52,32,45,58,177,560,281,106,76,5,1,Center,5256400
LafayOl01,Oliver,Lafayette,2009,BOS,Boston Celtics,N,1,22,7,1,3,4,2,0,0,1,0,6,3,0,0,2,1,Guard,2692
LandrCa01,Carl,Landry,2009,SAC,Sacramento Kings,N,28,1054,504,66,116,182,26,27,17,50,88,379,197,147,109,3,1,Forward,3000000
LandrMa01,Marcus,Landry,2009,BOS,Boston Celtics,N,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,Guard,457588
